state,OED_overall_amim,quintile_amim,vol_adv_amim,oed_adv_amim,vol_dis_amim,oed_dis_amim,doed_amim,OED_overall_amir,quintile_amir,vol_adv_amir,oed_adv_amir,vol_dis_amir,oed_dis_amir,doed_amir,OED_overall_pnm,quintile_pnm,vol_adv_pnm,oed_adv_pnm,vol_dis_pnm,oed_dis_pnm,doed_pnm,OED_overall_pnr,quintile_pnr,vol_adv_pnr,oed_adv_pnr,vol_dis_pnr,oed_dis_pnr,doed_pnr,doed_pnr_abs
OH,-0.00293974,2,15870,-0.006116931,2959,0.014100483,0.020217414,0.004480704,4,16443,0.002160179,3018,0.017123642,0.014963463,-0.008508469,2,37403,-0.009718965,12138,-0.00477835,0.004940615,0.002883405,3,40129,0.002922329,13200,0.002765072,-0.000157258,0.000157258
IN,0.00560707,3,11320,0.001723897,1894,0.0288159,0.027092003,-0.003347826,3,11623,-0.005850702,1947,0.011593585,0.017444287,0.003735814,3,28892,-0.000482805,8635,0.017850967,0.018333772,-0.004532032,3,30373,-0.00458074,9283,-0.004372666,0.000208074,0.000208074
AL,0.017256156,5,7289,0.013873136,1735,0.031468737,0.0175956,0.009804609,4,7318,0.007192607,1700,0.021048509,0.013855901,0.017044977,5,20084,0.013615704,7369,0.026391363,0.012775659,0.00596004,4,20694,0.006092305,7823,0.005610161,-0.000482144,0.000482144
CT,-0.010327312,1,4823,-0.013080825,1579,-0.001916803,0.011164022,0.009264593,4,4733,0.010978154,1572,0.004105379,-0.006872775,-0.010535161,1,13921,-0.009987496,6502,-0.01170773,-0.001720233,0.008877372,4,14320,0.008695031,6795,0.009261644,0.000566613,0.000566613
NE,0.018111044,5,2831,0.015277069,311,0.043908415,0.028631346,-0.01155651,2,2992,-0.010638697,327,-0.019954365,-0.009315668,0.014898475,5,9299,0.008537718,1802,0.047722381,0.039184663,-0.008094768,2,9671,-0.007942771,1885,-0.008874594,-0.000931823,0.000931823
TX,0.007579938,4,26749,0.008044751,6667,0.005715039,-0.002329712,-0.000712403,3,27201,-0.00437801,6681,0.014211737,0.018589747,-0.010542075,1,74015,-0.007475399,23971,-0.020011015,-0.012535615,-0.00640771,2,78764,-0.007279611,26062,-0.003772671,0.00350694,0.00350694
RI,-0.038931031,1,1471,-0.03957493,245,-0.035065007,0.004509923,0.007714644,4,1451,0.002433757,248,0.038612087,0.03617833,-0.00876066,2,3176,-0.007820242,663,-0.013265591,-0.005445349,-0.004828399,3,3382,-0.004156985,711,-0.008022097,-0.003865112,0.003865112
HI,0.013922148,4,1274,0.011533106,148,0.034487278,0.022954172,-0.016859035,1,1290,-0.021343008,153,0.020947012,0.042290019,0.00311765,3,2979,-0.003925523,564,0.040319093,0.044244616,-0.012552515,2,3061,-0.013292644,558,-0.008492418,0.004800226,0.004800226
MT,0.004208219,3,1497,1.97959E-05,183,0.038470896,0.0384511,-0.033776221,1,1663,-0.040477801,185,0.026465546,0.066943347,0.002178327,3,4873,-0.003433284,909,0.032261254,0.035694538,-0.013848197,2,5193,-0.013068433,961,-0.018061846,-0.004993413,0.004993413
WI,0.001916299,3,7542,0.001028361,827,0.010014033,0.008985672,-0.011593784,2,7817,-0.010736038,858,-0.019408469,-0.008672431,-0.001347371,3,20549,-0.002072239,3395,0.003040055,0.005112294,-0.00983417,2,21892,-0.010559191,3675,-0.005515218,0.005043973,0.005043973
